metascore,GameId,ConsoleId,userscore,date
97,1,10,8.3,"Sep 17, 2013"
97,1,17,8.3,"Sep 17, 2013"
96,1,7,7.7,"Apr 14, 2015"
97,1,11,8.3,"Nov 18, 2014"
97,1,19,7.8,"Nov 18, 2014"
95,2,10,9.2,"Jun 14, 2013"
94,3,10,8.5,"Mar 26, 2013"
93,3,17,8.5,"Mar 26, 2013"
94,3,7,8.6,"Mar 25, 2013"
91,6,10,8.7,"Sep 3, 2013"
90,6,17,8.2,"Sep 3, 2013"
92,6,16,8.7,"Sep 3, 2013"
90,6,11,8.5,"Feb 18, 2014"
87,6,14,8.4,"Sep 3, 2013"
88,19,10,8.2,"Oct 29, 2013"
86,19,17,7.9,"Oct 29, 2013"
84,19,7,7.7,"Nov 19, 2013"
83,19,11,7.9,"Nov 12, 2013"
87,29,10,8.4,"Mar 5, 2013"
86,29,17,8.6,"Mar 5, 2013"
86,29,7,8.5,"Mar 4, 2013"
87,31,10,7.9,"Mar 5, 2013"
75,31,14,7.5,"Mar 5, 2013"
87,32,10,8.3,"Jun 25, 2013"
85,32,7,8.6,"Oct 23, 2012"
85,32,14,8.4,"Jun 25, 2013"
86,33,10,8,"Mar 5, 2013"
87,33,17,7.4,"Feb 27, 2013"
85,33,7,8.1,"Feb 26, 2013"
84,33,16,8.1,"Feb 26, 2013"
83,33,14,7.2,"Dec 17, 2013"
86,48,10,6.7,"Dec 17, 2013"
86,36,10,6.4,"Sep 3, 2013"
87,36,17,6.7,"Sep 3, 2013"
88,36,7,4.1,"May 15, 2012"
86,15,10,8.4,"Oct 22, 2013"
87,15,17,7.5,"Oct 22, 2013"
89,15,7,7.9,"Oct 22, 2013"
86,18,10,4.3,"Sep 24, 2013"
84,18,17,4.2,"Sep 24, 2013"
87,18,11,6.3,"Nov 12, 2013"
88,18,19,5.8,"Nov 19, 2013"
91,51,10,8.1,"Mar 11, 2014"
91,51,17,7.9,"Mar 11, 2014"
91,51,7,7.2,"Apr 24, 2014"
85,57,10,8.7,"Jan 22, 2013"
85,58,10,8.8,"Oct 15, 2013"
82,58,17,8.4,"Oct 11, 2013"
85,58,7,8.9,"Oct 11, 2013"
88,68,10,8.2,"Feb 14, 2014"
85,12,10,8.6,"Sep 3, 2013"
86,12,17,8.7,"Aug 7, 2013"
90,12,7,8.6,"Sep 3, 2013"
81,12,11,8.1,"Aug 11, 2015"
87,79,10,8.1,"Aug 26, 2014"
84,79,17,8.8,"Aug 27, 2014"
78,79,7,8.5,"Aug 26, 2014"
85,47,10,5.4,"Jan 15, 2013"
86,47,17,5.1,"Jan 15, 2013"
85,47,7,6.8,"Jan 24, 2013"
84,27,10,7.7,"Apr 9, 2013"
87,27,14,8.3,"Apr 9, 2013"
84,39,10,5,"Oct 1, 2013"
87,39,17,4.9,"Oct 1, 2013"
85,39,11,6.5,"Nov 12, 2013"
86,39,19,5.7,"Nov 12, 2013"
84,84,10,7.8,"Sep 24, 2013"
76,84,16,8,"Oct 16, 2014"
81,84,14,8,"Sep 24, 2013"
87,89,10,8.3,"Sep 30, 2014"
83,89,17,8.5,"Sep 29, 2014"
82,89,7,7.9,"Sep 29, 2014"
84,98,10,7.7,"Aug 20, 2013"
82,98,17,7.5,"Aug 20, 2013"
82,98,7,7.5,"Aug 20, 2013"
85,92,10,8.7,"Mar 18, 2014"
83,92,7,9.2,"May 12, 2016"
84,92,11,8.6,"May 12, 2015"
86,92,14,8.9,"Mar 18, 2014"
85,107,10,8.5,"Mar 4, 2014"
82,107,17,8.5,"Mar 4, 2014"
85,107,7,8.6,"Mar 4, 2014"
84,112,10,5.6,"Sep 30, 2014"
85,112,17,4.8,"Sep 30, 2014"
83,132,10,8.3,"Mar 25, 2014"
83,130,10,7.5,"Jun 3, 2014"
84,130,17,6.9,"Jun 3, 2014"
71,130,11,6.1,"May 26, 2015"
83,135,10,8.1,"Aug 26, 2014"
79,135,7,7.6,"Aug 26, 2014"
96,165,10,8.7,"Oct 18, 2011"
94,165,17,8.7,"Oct 18, 2011"
91,165,7,8.7,"Nov 21, 2011"
95,172,10,8.5,"Apr 19, 2011"
95,172,17,8.7,"Apr 19, 2011"
95,172,7,9,"Apr 18, 2011"
94,174,10,8.5,"Jan 17, 2011"
96,174,17,8.9,"Jan 26, 2010"
94,174,7,8.8,"Jan 26, 2010"
92,171,10,6.5,"Nov 11, 2011"
96,171,17,8.5,"Nov 11, 2011"
94,171,7,8.2,"Nov 10, 2011"
84,171,13,8.2,"Nov 17, 2017"
92,184,10,8.4,"Nov 1, 2011"
92,185,10,8.6,"Sep 27, 2011"
91,187,10,8.4,"Jan 18, 2011"
90,190,10,6.7,"Oct 4, 2011"
90,190,17,7.7,"Oct 4, 2011"
90,191,10,7.2,"Sep 27, 2011"
90,191,17,6.8,"Sep 27, 2011"
89,191,7,7.1,"Sep 27, 2011"
67,191,1,3.9,"Sep 27, 2011"
70,191,15,5.9,"Sep 26, 2011"
90,205,10,7.8,"Mar 8, 2011"
77,205,12,6,"Mar 7, 2011"
90,211,10,7.8,"Jul 19, 2011"
90,211,17,8.4,"Jul 21, 2010"
88,211,7,8.1,"Aug 2, 2011"
83,211,13,8.5,"Jun 28, 2018"
89,208,10,8.2,"Aug 23, 2011"
89,208,17,8.3,"Aug 23, 2011"
90,208,7,8.5,"Aug 23, 2011"
89,232,10,7.8,"May 17, 2011"
89,232,17,7.9,"May 17, 2011"
76,232,11,8,"Nov 14, 2017"
77,232,19,7.9,"Nov 14, 2017"
79,232,13,8.3,"Nov 14, 2017"
89,210,10,8.9,"Nov 8, 2011"
90,210,17,8.7,"Nov 8, 2011"
81,210,14,8.4,"Jun 12, 2012"
89,206,10,8.4,"Jan 25, 2011"
90,206,17,8.6,"Jan 25, 2011"
87,206,7,8.4,"Jan 25, 2011"
89,213,10,8.9,"Oct 4, 2011"
89,213,17,8.7,"Oct 4, 2011"
88,234,10,3.2,"Nov 8, 2011"
88,234,17,3.4,"Nov 8, 2011"
78,234,7,2.7,"Nov 8, 2011"
70,234,15,1.9,"Nov 8, 2011"
87,263,10,7,"May 24, 2011"
87,263,17,7,"May 24, 2011"
86,263,7,7,"May 23, 2011"
87,186,10,8.4,"Nov 15, 2011"
87,186,17,8.2,"Nov 15, 2011"
86,186,7,8.4,"Mar 29, 2012"
71,186,1,6.3,"Nov 6, 2012"
88,186,14,8.4,"Feb 15, 2012"
92,186,15,8.5,"Nov 15, 2011"
86,293,10,7.5,"Sep 13, 2011"
86,293,17,7,"Sep 13, 2011"
93,304,10,5.6,"Mar 5, 2012"
93,304,17,5.9,"Mar 6, 2012"
89,304,7,5.7,"Mar 6, 2012"
92,306,10,8.8,"Mar 13, 2012"
92,306,11,8.4,"Jul 21, 2015"
91,309,10,8.2,"Sep 18, 2012"
89,309,17,8.3,"Sep 18, 2012"
89,309,7,8.2,"Sep 17, 2012"
64,309,14,7.7,"May 6, 2014"
86,311,10,7.2,"Aug 23, 2011"
86,311,17,7.3,"Aug 24, 2011"
90,327,10,8.5,"Dec 4, 2012"
91,327,17,8.6,"Dec 4, 2012"
88,327,7,8.3,"Dec 4, 2012"
90,157,10,8.9,"Oct 30, 2012"
92,157,7,7.7,"Dec 12, 2017"
87,157,11,8.1,"Dec 12, 2017"
88,157,19,8.3,"Dec 12, 2017"
89,157,13,8.7,"Aug 9, 2018"
85,332,10,7.9,"Feb 8, 2011"
89,332,17,8.2,"Sep 8, 2010"
87,332,7,8.9,"May 5, 2009"
77,332,14,7.7,"Feb 21, 2012"
81,332,3,7.5,"Jan 18, 2011"
85,233,10,7.5,"Oct 25, 2011"
84,233,17,7.5,"Oct 25, 2011"
89,233,7,7.6,"Oct 25, 2011"
85,291,10,7.2,"Mar 22, 2011"
84,291,17,7.5,"Mar 22, 2011"
86,291,7,6.8,"Mar 22, 2011"
90,360,10,8,"Oct 2, 2012"
