GameId,GameName
1,Grand Theft Auto V
2,The Last of Us
3,BioShock Infinite
4,Super Mario 3D World
5,Fire Emblem: Awakening
6,Rayman Legends
7,Fez
8,The Legend of Zelda: A Link Between Worlds
9,flower
10,Spelunky
11,The Legend of Zelda: The Wind Waker HD
12,Brothers: A Tale of Two Sons
13,Dota 2
14,Skylanders Swap Force
15,Rocksmith 2014 Edition
16,Deus Ex: Human Revolution - Director's Cut
17,Crusader Kings II: The Old Gods
18,FIFA 14
19,Assassin's Creed IV: Black Flag
20,Star Wars Pinball: Balance of the Force
21,XCOM: Enemy Within
22,Pokemon Y
23,The Stanley Parable
24,Guacamelee! Gold Edition
25,Animal Crossing: New Leaf
26,Pokemon X
27,Guacamelee!
28,The Swapper
29,Tomb Raider
30,Tearaway
31,MLB 13: The Show
32,Hotline Miami
33,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien
34,Pinball FX 2: Star Wars Pinball
35,Europa Universalis IV
36,Diablo III
37,Pikmin 3
38,Velocity Ultra
39,NBA 2K14
40,Gone Home
41,Pac-Man Championship Edition DX +
42,Out of the Park Baseball 14
43,Saints Row IV
44,Need for Speed: Most Wanted U
45,Borderlands 2: Tiny Tina's Assault on Dragon Keep
46,Starcraft II: Heart of the Swarm
47,DmC: Devil May Cry
48,Minecraft: PlayStation 3 Edition
49,The Last of Us Remastered
50,Super Smash Bros. for Wii U
51,Dark Souls II
52,Bayonetta 2
53,Kentucky Route Zero - Act III
54,Diablo III: Ultimate Evil Edition
55,Luigi's Mansion: Dark Moon
56,Path of Exile
57,Ni no Kuni: Wrath of the White Witch
58,The Wolf Among Us: Episode 1 - Faith
59,Battlefield 4
60,Velocity 2X
61,Shovel Knight
62,Guacamelee! Super Turbo Championship Edition
63,Out of the Park Baseball 15
64,Dragon Age: Inquisition
65,Minecraft: PlayStation 4 Edition
66,Mario Kart 8
67,The Binding of Isaac: Rebirth
68,The Last of Us: Left Behind
69,Dust: An Elysian Tail
70,Rogue Legacy
71,BattleBlock Theater
72,Football Manager 2014
73,Sid Meier's Civilization V: Brave New World
74,Trials Evolution: Gold Edition
75,Minecraft: Xbox One Edition
76,Hearthstone: Heroes of Warcraft
77,Middle-earth: Shadow of Mordor
78,Steins Gate
79,The Walking Dead: Season Two Episode 5 - No Going Back
80,Year Walk
81,Terraria
82,"Papers, Please"
83,Mass Effect 3: Citadel
84,Lone Survivor: The Director's Cut
85,Mario Kart 8 DLC Pack 1
86,TowerFall Ascension
87,Diablo III: Reaper of Souls
88,Divinity: Original Sin
89,Dark Souls II: Crown of the Ivory King
90,World of Warcraft: Warlords of Draenor
91,Astebreed
92,Final Fantasy X / X-2 HD Remaster
93,Titanfall
94,Etrian Odyssey IV: Legends of the Titan
95,Resogun
96,Mutant Mudds Deluxe
97,PixelJunk Monsters: Ultimate HD
98,Tom Clancy's Splinter Cell: Blacklist
99,Tomb Raider: Definitive Edition
100,Forza Horizon 2
101,Bayonetta
102,Final Fantasy XIV Online: A Realm Reborn
103,Resogun: Heroes
104,The Talos Principle
105,Legend of Grimrock II
106,Bravely Default
107,South Park: The Stick of Truth
108,Super Smash Bros. for Nintendo 3DS
109,Assetto Corsa
110,Valkyria Chronicles
111,Halo: The Master Chief Collection
112,Persona 4 Arena Ultimax
113,Super Mega Baseball
114,The Wolf Among Us: Episode 5 - Cry Wolf
115,Geometry Wars 3: Dimensions
116,Far Cry 4
117,Shantae and the Pirate's Curse
118,Guilty Gear Xrd -SIGN-
