CompanyName,ConsoleName,GameName,userscore
Microsoft,X360,Vanquish,9.2
Microsoft,X360,Red Dead Redemption,9
Microsoft,X360,Mass Effect 2,8.9
Microsoft,X360,BioShock,8.9
Microsoft,X360,The Walking Dead: Season Two Episode 5 - No Going Back,8.8
Microsoft,X360,The Walking Dead: Episode 5 - No Time Left,8.8
Microsoft,X360,Assassin's Creed II,8.8
Microsoft,X360,Castle Crashers,8.8
Microsoft,X360,Fight Night Round 3,8.8
Microsoft,X360,The Orange Box,8.8
Microsoft,XBOX,Star Wars: Knights of the Old Republic,9
Microsoft,XBOX,Hitman: Blood Money,8.9
Microsoft,XBOX,ESPN NFL 2K5,8.9
Microsoft,XBOX,Tiger Woods PGA Tour 2005,8.9
Microsoft,XBOX,SoulCalibur II,8.9
Microsoft,XBOX,Tom Clancy's Splinter Cell Chaos Theory,8.9
Microsoft,XBOX,Mercenaries,8.9
Microsoft,XBOX,Need for Speed Most Wanted,8.9
Microsoft,XBOX,Tom Clancy's Ghost Recon 2,8.9
Microsoft,XBOX,Blood Omen 2,8.9
Microsoft,XONE,The Witcher 3: Wild Hunt,9.2
Microsoft,XONE,The Evil Within 2,9.2
Microsoft,XONE,NieR: Automata - Become as Gods Edition,9
Microsoft,XONE,LEGO DC Super-Villains,8.8
Microsoft,XONE,Dark Souls III,8.7
Microsoft,XONE,Life is Strange: Episode 3 - Chaos Theory,8.7
Microsoft,XONE,Life is Strange: Episode 4 - Dark Room,8.7
Microsoft,XONE,Ori and the Blind Forest,8.6
Microsoft,XONE,BioShock: The Collection,8.6
Microsoft,XONE,Life is Strange: Episode 5 - Polarized,8.6
Nintendo,3DS,Fire Emblem: Awakening,9.1
Nintendo,3DS,Theatrhythm Final Fantasy: Curtain Call,9.1
Nintendo,3DS,Pokemon Ultra Moon,9.1
Nintendo,3DS,The Legend of Zelda: A Link Between Worlds,9
Nintendo,3DS,The Legend of Zelda: Ocarina of Time 3D,9
Nintendo,3DS,Pokemon Ultra Sun,9
Nintendo,3DS,The Legend of Zelda: Majora's Mask 3D,8.9
Nintendo,3DS,Metroid: Samus Returns,8.9
Nintendo,3DS,Xenoblade Chronicles 3D,8.9
Nintendo,3DS,Zero Escape: Virtue's Last Reward,8.8
Nintendo,DS,Chrono Trigger,9.2
Nintendo,DS,Phoenix Wright: Ace Attorney - Trials and Tribulations,9
Nintendo,DS,Phoenix Wright: Ace Attorney,9
Nintendo,DS,Professor Layton and the Unwound Future,8.9
Nintendo,DS,Advance Wars: Dual Strike,8.9
Nintendo,DS,The World Ends with You,8.8
Nintendo,DS,Final Fantasy IV,8.8
Nintendo,DS,Ghost Trick: Phantom Detective,8.8
Nintendo,DS,"Nine Hours, Nine Persons, Nine Doors",8.8
Nintendo,DS,Kirby Super Star Ultra,8.8
Nintendo,GBA,Final Fantasy VI Advance,9.3
Nintendo,GBA,Final Fantasy Tactics Advance,9.2
Nintendo,GBA,Advance Wars 2: Black Hole Rising,9.1
Nintendo,GBA,Fire Emblem,9.1
Nintendo,GBA,Advance Wars,9
Nintendo,GBA,Golden Sun,9
Nintendo,GBA,Mario & Luigi: Superstar Saga,9
Nintendo,GBA,Golden Sun: The Lost Age,9
Nintendo,GBA,Metroid Fusion,9
Nintendo,GBA,Metroid: Zero Mission,8.9
Nintendo,GC,Resident Evil 4,9.3
Nintendo,GC,Resident Evil,9.3
Nintendo,GC,Metroid Prime,9.2
Nintendo,GC,Super Smash Bros. Melee,9.1
Nintendo,GC,Paper Mario: The Thousand-Year Door,9.1
Nintendo,GC,Tales of Symphonia,9.1
Nintendo,GC,Pikmin 2,9
Nintendo,GC,The Legend of Zelda Collector's Edition,9
Nintendo,GC,The Legend of Zelda: Ocarina of Time / Master Quest,9
Nintendo,GC,The Legend of Zelda: Twilight Princess,8.9
Nintendo,N64,Paper Mario,9.1
Nintendo,N64,Conker's Bad Fur Day,9.1
Nintendo,N64,The Legend of Zelda: Majora's Mask,9.1
Nintendo,N64,Banjo-Tooie,9
Nintendo,N64,Perfect Dark,8.9
Nintendo,N64,Mario Tennis,8.9
Nintendo,N64,Ogre Battle 64,8.9
Nintendo,N64,Tony Hawk's Pro Skater 2,8.8
Nintendo,N64,WWF No Mercy,8.8
Nintendo,N64,Pokemon Puzzle League,8.5
Nintendo,Switch,Valkyria Chronicles 4,8.9
Nintendo,Switch,Super Mario Odyssey,8.9
Nintendo,Switch,Sonic Mania Plus,8.8
Nintendo,Switch,Hollow Knight,8.8
Nintendo,Switch,Dragon Ball FighterZ,8.8
Nintendo,Switch,Sonic Mania,8.8
Nintendo,Switch,Ys VIII: Lacrimosa of DANA,8.8
Nintendo,Switch,Bayonetta + Bayonetta 2,8.7
Nintendo,Switch,Okami HD,8.7
Nintendo,Switch,Stardew Valley,8.7
Nintendo,WII,Xenoblade Chronicles,9.2
Nintendo,WII,Super Mario Galaxy 2,9.1
Nintendo,WII,Metroid Prime Trilogy,9.1
Nintendo,WII,The Legend of Zelda: Twilight Princess,9
Nintendo,WII,Super Mario Galaxy,9
Nintendo,WII,Resident Evil 4: Wii Edition,9
Nintendo,WII,Pro Evolution Soccer 2009,8.9
Nintendo,WII,Okami,8.9
Nintendo,WII,Metroid Prime 3: Corruption,8.9
Nintendo,WII,Super Smash Bros. Brawl,8.9
Nintendo,WIIU,Super Smash Bros. for Wii U,9
Nintendo,WIIU,Bayonetta 2,9
Nintendo,WIIU,Mario Kart 8 DLC Pack 1,9
Nintendo,WIIU,Xenoblade Chronicles X,9
Nintendo,WIIU,Super Mario 3D World,8.9
Nintendo,WIIU,The Legend of Zelda: The Wind Waker HD,8.9
Nintendo,WIIU,Mario Kart 8,8.9
Nintendo,WIIU,Donkey Kong Country: Tropical Freeze,8.9
Nintendo,WIIU,Mario Kart 8 DLC Pack 2,8.9
Nintendo,WIIU,Bayonetta,8.8
PC,PC,The Witcher 3: Wild Hunt,9.3
PC,PC,Final Fantasy X / X-2 HD Remaster,9.2
PC,PC,The Witcher 3: Wild Hunt - Blood and Wine,9.2
PC,PC,Final Fantasy IX,9.2
PC,PC,The Orange Box,9.2
PC,PC,Portal,9.2
PC,PC,Baldur's Gate II: Shadows of Amn,9.2
PC,PC,Deus Ex,9.2
PC,PC,Counter-Strike,9.2
PC,PC,Left 4 Dead,9.1
Sega,DC,Shenmue II,9.1
Sega,DC,Resident Evil 3: Nemesis,9
Sega,DC,Dino Crisis,9
Sega,DC,Skies of Arcadia,8.9
Sega,DC,Power Stone 2,8.9
Sega,DC,Resident Evil 2,8.9
Sega,DC,Marvel vs. Capcom 2,8.8
Sega,DC,Unreal Tournament,8.8
Sega,DC,Metropolis Street Racer,8.8
Sega,DC,Silent Scope,8.8
Sony,PS,Final Fantasy Chronicles,9.4
Sony,PS,The Legend of Dragoon,9.3
Sony,PS,Final Fantasy IX,9.2
Sony,PS,Dino Crisis 2,9.1
Sony,PS,Vagrant Story,9
Sony,PS,Parasite Eve II,9
Sony,PS,Spyro: Year of the Dragon,8.9
Sony,PS,Lunar 2: Eternal Blue Complete,8.9
Sony,PS,Medal of Honor Underground,8.9
Sony,PS,Rollcage Stage II,8.9
Sony,PS2,Shadow of the Colossus,9.1
Sony,PS2,Okami,9.1
Sony,PS2,Kingdom Hearts II,9.1
Sony,PS2,Ratchet & Clank: Up Your Arsenal,9.1
Sony,PS2,Dark Cloud 2,9.1
Sony,PS2,Suikoden V,9.1
Sony,PS2,God Hand,9.1
Sony,PS2,Silent Hill 2,9
Sony,PS2,Grand Theft Auto: San Andreas,9
Sony,PS2,Resident Evil 4,9
Sony,PS3,The Last of Us,9.2
Sony,PS3,Kingdom Hearts HD 2.5 ReMIX,9
Sony,PS3,Vanquish,9
Sony,PS3,Okami HD,8.9
Sony,PS3,Metal Gear Solid HD Collection,8.9
Sony,PS3,Dark Souls,8.9
Sony,PS3,Red Dead Redemption,8.9
Sony,PS3,Uncharted 2: Among Thieves,8.9
Sony,PS3,Demon's Souls,8.9
Sony,PS3,Ratchet & Clank Future: A Crack in Time,8.9
Sony,PS4,Bloodborne: The Old Hunters,9.3
Sony,PS4,God of War,9.2
