CompanyName,ConsoleName,GameName,userscore
Microsoft,X360,Fast & Furious: Showdown,1
Microsoft,X360,Ride to Hell: Retribution,1.2
Microsoft,X360,Mindjack,1.2
Microsoft,X360,Double Dragon II: Wander of the Dragons,1.5
Microsoft,X360,Battleship,1.7
Microsoft,X360,Attack of the Movies 3D,1.7
Microsoft,X360,Dragon Ball Z for Kinect,2
Microsoft,X360,Power Gig: Rise of the SixString,2.1
Microsoft,X360,Rambo: The Video Game,2.2
Microsoft,X360,Sonic Free Riders,2.3
Microsoft,XBOX,Charlie and the Chocolate Factory,0.4
Microsoft,XBOX,Wallace & Gromit: Curse of the Were-Rabbit,0.7
Microsoft,XBOX,Thrillville,1.7
Microsoft,XBOX,Drake of the 99 Dragons,1.8
Microsoft,XBOX,Wallace & Gromit in Project Zoo,1.9
Microsoft,XBOX,MTV's Celebrity Deathmatch,1.9
Microsoft,XBOX,Terminator 3: Rise of the Machines,2
Microsoft,XBOX,Without Warning,2
Microsoft,XBOX,Loons - The Fight for Fame,2.3
Microsoft,XBOX,Aeon Flux,2.4
Microsoft,XONE,Ghostbusters,0.4
Microsoft,XONE,Star Wars Battlefront II,0.9
Microsoft,XONE,Destiny 2: Curse of Osiris,1
Microsoft,XONE,Extinction,1.2
Microsoft,XONE,NBA 2K18,1.5
Microsoft,XONE,Tennis World Tour,1.6
Microsoft,XONE,Chime Sharp,1.7
Microsoft,XONE,Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,1.7
Microsoft,XONE,FIFA 19,2.1
Microsoft,XONE,Metal Gear Survive,2.1
Nintendo,3DS,RollerCoaster Tycoon 3D,2.6
Nintendo,3DS,Tenkai Knights: Brave Battle,2.7
Nintendo,3DS,The Sims 3,3.1
Nintendo,3DS,Transformers: Dark of the Moon - Stealth Force Edition,3.3
Nintendo,3DS,Shin Megami Tensei: Strange Journey Redux,3.5
Nintendo,3DS,DualPenSports,3.5
Nintendo,3DS,Bit Boy!! Arcade,3.8
Nintendo,3DS,FIFA Soccer 12,3.9
Nintendo,3DS,Tetris Ultimate,4
Nintendo,3DS,Thor: God of Thunder,4.2
Nintendo,DS,Thundercats,1.1
Nintendo,DS,Call of Duty: Modern Warfare 3 - Defiance,1.1
Nintendo,DS,March of the Penguins,1.7
Nintendo,DS,Deal or No Deal,2
Nintendo,DS,Cars,2.1
Nintendo,DS,The Sims 2: Apartment Pets,2.2
Nintendo,DS,Spore Hero Arena,2.2
Nintendo,DS,Inkheart,2.2
Nintendo,DS,LOL: Never Party Alone!,2.3
Nintendo,DS,Homie Rollerz,2.4
Nintendo,GBA,Mortal Kombat Advance,2
Nintendo,GBA,Oddworld: Munch's Oddysee,2.5
Nintendo,GBA,Fear Factor: Unleashed,3
Nintendo,GBA,Legends of Wrestling II,3.7
Nintendo,GBA,Shrek 2,3.8
Nintendo,GBA,Defender of the Crown,4
Nintendo,GBA,Popeye: Rush for Spinach,4.2
Nintendo,GBA,David Beckham Soccer,4.2
Nintendo,GBA,Mucha Lucha! Mascaritas of the Lost Code,4.3
Nintendo,GBA,Star Wars Episode II: Attack of the Clones,4.3
Nintendo,GC,Tom Clancy's Ghost Recon 2,1.4
Nintendo,GC,Bad Boys: Miami Takedown,2
Nintendo,GC,Zapper,2.5
Nintendo,GC,Batman: Dark Tomorrow,2.7
Nintendo,GC,Aquaman: Battle for Atlantis,2.8
Nintendo,GC,Universal Studios Theme Parks Adventure,2.9
Nintendo,GC,Disney's Donald Duck: Goin' Quackers,3
Nintendo,GC,Wallace & Gromit in Project Zoo,3
Nintendo,GC,Charlie's Angels,3.1
Nintendo,GC,Charlie and the Chocolate Factory,3.2
Nintendo,N64,"Hey You, Pikachu!",6.4
Nintendo,N64,Fighter Destiny 2,6.6
Nintendo,N64,Army Men: Sarge's Heroes 2,6.8
Nintendo,N64,Spider-Man,6.9
Nintendo,N64,Turok 3: Shadow of Oblivion,7.1
Nintendo,N64,Mickey's Speedway USA,7.3
Nintendo,N64,Cruis'n Exotica,7.3
Nintendo,N64,Hercules: The Legendary Journeys,7.4
Nintendo,N64,007: The World is Not Enough,7.8
Nintendo,N64,Army Men: Air Combat,7.8
Nintendo,Switch,Vroom in the Night Sky,3.1
Nintendo,Switch,Scribblenauts Showdown,4
Nintendo,Switch,NBA 2K18,4.3
Nintendo,Switch,Shadow Bug,4.3
Nintendo,Switch,Fantasy Hero: Unsigned Legacy,4.3
Nintendo,Switch,Burly Men At Sea,4.4
Nintendo,Switch,The Deer God,4.4
Nintendo,Switch,New Frontier Days: Founding Pioneers,4.6
Nintendo,Switch,Touhou Kobuto V: Burst Battle,4.6
Nintendo,Switch,FIFA 19,4.8
Nintendo,WII,Pool Party,0.5
Nintendo,WII,The Ant Bully,1.4
Nintendo,WII,Family Party: 30 Great Games,1.5
Nintendo,WII,Call of Duty: Modern Warfare 3,1.9
Nintendo,WII,SimAnimals,2.1
Nintendo,WII,Transformers: Dark of the Moon - Stealth Force Edition,2.5
Nintendo,WII,Tamagotchi Party On!,2.8
Nintendo,WII,Jenga World Tour,2.8
Nintendo,WII,Thrillville: Off the Rails,3
Nintendo,WII,Target: Terror,3
Nintendo,WIIU,Family Party: 30 Great Games Obstacle Arcade,1
Nintendo,WIIU,ESPN Sports Connection,2.7
Nintendo,WIIU,Game Party Champions,3.4
Nintendo,WIIU,Sonic Boom: Rise of Lyric,3.5
Nintendo,WIIU,Animal Crossing: amiibo Festival,4.3
Nintendo,WIIU,Mighty No. 9,4.4
Nintendo,WIIU,Blok Drop U,5
Nintendo,WIIU,Marvel Avengers: Battle for Earth,5
Nintendo,WIIU,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,5
Nintendo,WIIU,Kung Fu Rabbit,5.1
PC,PC,Wild West Online,0.2
PC,PC,Star Wars Battlefront II,1
PC,PC,Metal Gear Survive,1.1
PC,PC,Ride to Hell: Retribution,1.2
PC,PC,Alone in the Dark: Illumination,1.2
PC,PC,Corpse of Discovery,1.3
PC,PC,Destiny 2: Curse of Osiris,1.3
PC,PC,Sacred 3,1.5
PC,PC,R.I.P.D. The Game,1.5
PC,PC,Legends of Pegasus,1.5
Sega,DC,Death Crimson OX,4.5
Sega,DC,Heavy Metal: Geomatrix,5.8
Sega,DC,WWF Royal Rumble,5.9
Sega,DC,Evil Dead: Hail to the King,6
Sega,DC,Tony Hawk's Pro Skater 2,6.2
Sega,DC,NFL 2K1,6.4
Sega,DC,Ms. Pac-Man Maze Madness,6.4
Sega,DC,Star Wars: Demolition,6.4
Sega,DC,Toy Story 2: Buzz Lightyear to the Rescue!,6.6
Sega,DC,KAO the Kangaroo,6.8
Sony,PS,Mortal Kombat: Special Forces,2.1
Sony,PS,Persona 2: Eternal Punishment,3.1
Sony,PS,KISS Pinball,3.8
Sony,PS,HBO Boxing,4
Sony,PS,007 Racing,4.7
Sony,PS,FIFA Soccer 2002,5
Sony,PS,Dragon Ball Z: Ultimate Battle 22,5
Sony,PS,Ball Breakers,5.3
Sony,PS,Danger Girl,5.5
Sony,PS,The Simpsons Wrestling,5.5
Sony,PS2,Zathura,2
Sony,PS2,Thrillville: Off the Rails,2.1
Sony,PS2,Big Mutha Truckers 2,2.1
Sony,PS2,Thrillville,3
Sony,PS2,Driven,3
Sony,PS2,Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,3.2
Sony,PS2,Wallace & Gromit: Curse of the Were-Rabbit,3.2
Sony,PS2,Wallace & Gromit in Project Zoo,3.2
Sony,PS2,Dog's Life,3.2
Sony,PS2,MTV's Celebrity Deathmatch,3.2
Sony,PS3,Power Gig: Rise of the SixString,0.5
Sony,PS3,NBA Unrivaled,0.9
Sony,PS3,Fuel Overdose,1.3
Sony,PS3,Rambo: The Video Game,1.5
Sony,PS3,Mindjack,1.7
